Title,X,Y,A,B,nt,na,model,pvalue,effect_size,npermutations
Gender,Male,Female,sadness,not sadness,208,266,ViT-B/16,1e-06,0.995221,1000000
Race,European-American,African-American,sadness,not sadness,180,266,ViT-B/16,0.268748,0.06495071,1000000
Asian,European-American,Asian-American,sadness,apathy,104,28,ViT-B/16,1e-06,1.1025797,1000000
Gender,Male,Female,sadness,apathy,208,28,ViT-B/16,0.062502,0.15046921,1000000
Race,European-American,African-American,sadness,apathy,180,28,ViT-B/16,0.999969,-0.41580704,1000000
Asian,European-American,Asian-American,surprise,not surprise,104,42,ViT-B/16,0.971896,-0.26470208,1000000
Gender,Male,Female,surprise,not surprise,208,42,ViT-B/16,1e-06,0.6595456,1000000
Race,European-American,African-American,surprise,not surprise,180,42,ViT-B/16,1.0,-0.6571869,1000000
Asian,European-American,Asian-American,surprise,apathy,104,28,ViT-B/16,0.032742,0.25544545,1000000
Gender,Male,Female,surprise,apathy,208,28,ViT-B/16,1e-06,0.55018777,1000000
Race,European-American,African-American,surprise,apathy,180,28,ViT-B/16,1.0,-0.78669906,1000000
Asian,European-American,Asian-American,anticipation,not anticipation,104,28,ViT-B/16,0.951955,-0.23079802,1000000
Gender,Male,Female,anticipation,not anticipation,208,28,ViT-B/16,1e-06,0.89158255,1000000
Race,European-American,African-American,anticipation,not anticipation,180,28,ViT-B/16,0.892963,-0.13106833,1000000
Asian,European-American,Asian-American,anticipation,apathy,104,28,ViT-B/16,0.848487,-0.14328448,1000000
Gender,Male,Female,anticipation,apathy,208,28,ViT-B/16,1e-06,0.89971876,1000000
Race,European-American,African-American,anticipation,apathy,180,28,ViT-B/16,1.0,-0.9037256,1000000
Asian,European-American,Asian-American,trust,not trust,104,14,ViT-B/16,0.964584,-0.25093102,1000000
Gender,Male,Female,trust,not trust,208,14,ViT-B/16,1.1e-05,0.41238096,1000000
Race,European-American,African-American,trust,not trust,180,14,ViT-B/16,1.0,-0.63793707,1000000
Asian,European-American,Asian-American,trust,apathy,104,14,ViT-B/16,0.994445,-0.3513238,1000000
Gender,Male,Female,trust,apathy,208,14,ViT-B/16,0.006768,0.24285373,1000000
Race,European-American,African-American,trust,apathy,180,14,ViT-B/16,1.0,-0.94903505,1000000
Asian,European-American,Asian-American,sadness,not sadness,104,266,ViT-B/32,0.996785,-0.37531585,1000000
