Title,X,Y,A,B,nt,na,Target,model,pvalue,effect_size,npermutations
Sexuality,Gay,Straight,Pleasant,Unpleasant,9,55,Valence,ViT-B/32,0.868469765528589,-0.54109454,48620
Skin-Tone,Light,Dark,Pleasant,Unpleasant,7,55,Valence,ViT-B/32,0.907051282051282,-0.72849786,3432
Weapon,White,Black,Tool,Weapon,6,7,Weapon,ViT-B/32,0.6428571428571429,-0.22354762,924
Weapon,White,Black,Pleasant,Unpleasant,6,9,Valence,ViT-B/32,0.4426406926406926,0.08977844,924
Weapon,White,Black,Tool,Weapon,6,9,Weapon,ViT-B/32,0.6428571428571429,-0.22354762,924
Weight,Thin,Fat,Pleasant,Unpleasant,10,55,Valence,ViT-B/32,0.000324752646734,1.3767334,184756
Age,Young,Old,Pleasant,Unpleasant,6,55,Valence,ViT-B/16,0.9848484848484848,-1.2201447,924
Arab-Muslim,Other-People,Arab-Muslim,Pleasant,Unpleasant,10,55,Valence,ViT-B/16,0.0065383532875792,0.9993597,184756
Asian,European-American,Asian-American,US,World,6,6,Native,ViT-B/16,0.2132034632034632,0.4940894,924
Asian,European-American,Asian-American,Pleasant,Unpleasant,6,6,Valence,ViT-B/16,0.9318181818181818,-0.87588406,924
Disabled,Disabled,Abled,Pleasant,Unpleasant,4,55,Valence,ViT-B/16,0.2571428571428571,0.540607,70
Gender,Male,Female,Career,Family,40,21,Gender,ViT-B/16,0.033328,0.41112638,1000000
Gender,Male,Female,Pleasant,Unpleasant,40,21,Valence,ViT-B/16,0.999926,-0.80137986,1000000
Gender,Male,Female,Science,Liberal-Arts,40,21,Gender,ViT-B/16,0.67053,-0.099957824,1000000
Insect-Flower,Flower,Insect,Pleasant,Unpleasant,35,55,Valence,ViT-B/16,1e-06,1.8892841,1000000
Native,Euro,Native,US,World,8,5,Native,ViT-B/16,0.987956487956488,-1.0874126,12870
Native,Euro,Native,Pleasant,Unpleasant,8,5,Valence,ViT-B/16,0.0149961149961149,1.0660557,12870
Race,European-American,African-American,Pleasant,Unpleasant,6,55,Valence,ViT-B/16,0.0064935064935064,1.4076064,924
Religion,Christianity,Judaism,Pleasant,Unpleasant,7,55,Valence,ViT-B/16,0.3053613053613053,0.28159824,3432
